Sample	Condition	Day	Rep	LeafWater	Batch
DS3.3	Drought	3	1	92.8	B4
DS3.4	Drought	3	2	95.2	B123
DS4.1	Drought	4	1	93.9	B123
DS4.4	Drought	4	2	94.7	B123
DS5.2	Drought	5	1	92.9	B4
DS5.3	Drought	5	2	91.5	B123
DS6.1	Drought	6	1	90.8	B4
DS6.2	Drought	6	2	89.8	B123
DS7.2	Drought	7	1	86.9	B4
DS7.3	Drought	7	2	90.5	B123
DS8.2	Drought	8	1	78.1	B4
DS8.4	Drought	8	2	69.4	B123
DS9.1	Drought	9	1	56.7	B4
DS9.3	Drought	9	2	56.3	B4
DS10.1	Drought	10	1	46.9	B4
DS10.4	Drought	10	2	48.2	B123
DW3.3	Normal	3	1	96.2	B123
DW3.5	Normal	3	2	94.9	B123
DW4.3	Normal	4	1	97.3	B123
DW4.4	Normal	4	2	97.1	B123
DW5.1	Normal	5	1	96.8	B4
DW5.3	Normal	5	2	98.1	B123
DW6.1	Normal	6	1	95.1	B123
DW6.2	Normal	6	2	96.5	B123
DW7.2	Normal	7	1	97.8	B123
DW7.5	Normal	7	2	96	B123
DW8.1	Normal	8	1	96.1	B123
DW8.3	Normal	8	2	96.1	B123
DW9.2	Normal	9	1	95.2	B123
DW9.3	Normal	9	2	92.9	B123
DW10.2	Normal	10	1	97.2	B123
DW10.3	Normal	10	2	91.1	B4
