GeneID	interaction.padj	earlySig	middleSig	lateSig	RegulationOnDS	CNV_SW	GWAS_min_pvalue	1k_min_pvalue
AC148152.3_FG005	0.536499147	no	no	no	NA	noCNV	0.001433473	0.001433473
AC148152.3_FG006	0.067329618	no	no	no	NA	DownCNV/PAV	NA	NA
AC148152.3_FG008	0.61913767	no	no	no	NA	noCNV	NA	NA
AC148167.6_FG001	0.839427574	no	no	no	NA	noCNV	0.139272719	0.139272719
AC149475.2_FG002	3.26E-12	no	yes	no	DownOnDS	noCNV	0.002315635	0.002315635
AC149475.2_FG003	0.060692058	no	no	no	NA	noCNV	0.024460157	0.015824749
AC149475.2_FG005	0.469819747	no	no	no	NA	noCNV	0.015639602	0.015639602
AC149475.2_FG007	0.623952562	no	no	no	NA	noCNV	0.048316152	0.032135092
AC149810.2_FG008	0.037452733	no	no	yes	others	noCNV	0.050031677	0.050031677
AC149818.2_FG001	0.29670744	no	no	no	NA	noCNV	0.019437034	0.019437034
AC149818.2_FG004	0.17196039	no	no	no	NA	noCNV	0.186239914	0.012489787
AC149818.2_FG005	0.54505326	no	no	no	NA	DownCNV/PAV	0.089654792	0.042599895
AC149818.2_FG006	0.161167097	no	no	no	NA	noCNV	0.035582455	0.035582455
AC149818.2_FG007	0.078801105	no	no	no	NA	noCNV	0.080911188	0.080911188
AC149818.2_FG008	0.340084724	no	no	no	NA	noCNV	0.012805389	0.012805389
AC149818.2_FG009	1.21E-09	no	yes	no	others	noCNV	NA	NA
AC149828.2_FG002	0.074575643	no	no	no	NA	noCNV	0.097063074	0.097063074
AC149828.2_FG004	0.019731825	no	no	no	others	noCNV	NA	0.03860757
AC149828.2_FG005	0.972765506	no	no	no	NA	noCNV	NA	NA
AC149829.2_FG002	0.000299224	no	yes	yes	others	noCNV	0.090421466	0.032972898
AC149829.2_FG003	0.526111523	no	no	no	NA	noCNV	0.02333201	0.02333201
AC149829.2_FG004	0.194515888	no	no	no	NA	noCNV	0.659444992	0.425560246
AC149829.2_FG006	1.18E-08	no	no	yes	DownOnDS	noCNV	0.093888768	0.034866301
AC150739.3_FG001	0.995161848	no	no	no	NA	noCNV	0.063244181	0.063244181
AC152495.1_FG002	0.074643523	no	no	no	NA	DownCNV/PAV	NA	NA
AC152495.1_FG010	0.206300665	no	no	no	NA	noCNV	NA	NA
AC152495.1_FG012	0.800240887	no	no	no	NA	UpCNV	0.066917629	0.025361216
AC152495.1_FG017	0.06347743	no	no	no	NA	DownCNV/PAV	NA	NA
AC155376.2_FG004	1.19E-12	no	yes	no	DownOnDS	noCNV	0.017987886	0.017987886
AC155376.2_FG005	0.306283474	no	no	no	NA	noCNV	0.111865826	0.111865826
AC155377.1_FG001	0.14750225	no	no	no	NA	noCNV	0.151537058	0.151537058
AC155377.1_FG002	0.173968233	no	no	no	NA	noCNV	0.464898975	0.464898975
AC155390.2_FG002	0.975210565	no	no	no	NA	noCNV	0.173808733	0.173808733
AC155434.2_FG001	0.073212217	no	no	no	NA	noCNV	0.589492183	0.589492183
AC155434.2_FG004	0.127426332	no	no	no	NA	noCNV	0.089068246	0.066266705
AC155434.2_FG005	0.015295423	no	no	no	UpOnDS	noCNV	0.063027319	0.063027319
AC155496.2_FG009	0.632491815	no	no	no	NA	noCNV	0.078430974	0.078430974
AC155610.2_FG007	0.067798893	no	no	no	NA	noCNV	0.68307296	0.209958754
AC155622.2_FG001	0.000331162	no	no	no	DownOnDS	noCNV	0.111181793	0.110847977
AC155622.2_FG004	0.355524464	no	no	no	NA	noCNV	0.031790383	0.015379834
AC155624.2_FG006	0.033245803	no	no	no	DownOnDS	noCNV	0.085649661	0.085649661
AC155624.2_FG011	0.119270535	no	no	no	NA	noCNV	0.043266531	0.043266531
AC159612.1_FG007	0.063268015	no	no	no	NA	noCNV	0.113176212	0.059251726
AC165171.2_FG002	0.740515728	no	no	no	NA	noCNV	NA	0.365950256
AC165178.2_FG004	0.827679401	no	no	no	NA	noCNV	0.006473919	0.006473919
AC166636.1_FG007	0.000201871	no	no	yes	DownOnDS	noCNV	0.249359838	0.086618942
AC166636.1_FG008	0.080327297	no	no	no	NA	noCNV	0.041175877	0.041175877
AC166636.1_FG009	0.954629446	no	no	no	NA	noCNV	NA	NA
