GeneID	IDENTIFIER	BINCODE	NAME	Class	interaction.padj	DS3	DS4	DS5	DS6	DS7	DS8	DS9	DS10	DS11	DRW11	WW3	WW4	WW5	WW6	WW7	WW8	WW9	WW10	DAY3	DAY4	DAY5	DAY6	DAY7	DAY8	DAY9	DAY10
GRMZM2G102347	grmzm2g102347_t01	17.1.1	hormone metabolism.abscisic acid.synthesis-degradation	ABA	0.000000107	783.5	817.5	823.5	955	678	464.5	453	132	120	775.5	603.5	769.5	719	853	850.5	923.5	861	655.5	0.376579504	0.087297404	0.195776879	0.162954992	-0.327025963	-0.991433365	-0.926502187	-2.312057851
GRMZM2G101062	grmzm2g101062_t01	17.1.1	hormone metabolism.abscisic acid.synthesis-degradation	ABA	1.77E-20	1165	1263.5	1300	1152	763	524	412	220.5	239	1204.5	911.5	1255.5	1308.5	1227.5	1155.5	1232	946	956.5	0.354015394	0.009163636	-0.009402301	-0.091582308	-0.598762298	-1.233363539	-1.199195846	-2.116986313
GRMZM2G124175	grmzm2g124175_t01	17.1.1	hormone metabolism.abscisic acid.synthesis-degradation	ABA	0.000000016	271.5	235.5	359	274	452.5	340.5	264.5	202	79	251.5	358.5	266.5	267.5	186.5	525	588.5	622	721.5	-0.401020921	-0.178408473	0.424444953	0.555000263	-0.214399631	-0.789387617	-1.233646858	-1.836644102
GRMZM5G899851	grmzm5g899851_t01	17.1.1	hormone metabolism.abscisic acid.synthesis-degradation	ABA	2.09E-12	246	141.5	194.5	230.5	303.5	170	156	122	43	157.5	207	202.5	163	113	318	357	347.5	413	0.249027548	-0.517119855	0.254898191	1.028443978	-0.067330249	-1.070389328	-1.155466949	-1.759260634
GRMZM5G872934	grmzm5g872934_t01	17.1.1	hormone metabolism.abscisic acid.synthesis-degradation	ABA	0.080662561	334	402.5	425	337	280.5	270.5	164.5	172	239	171.5	370	370	427	404	343.5	318	315	340.5	-0.147677168	0.121463512	-0.006773229	-0.261606702	-0.292309328	-0.233398171	-0.937264245	-0.985246233
GRMZM2G180596	grmzm2g180596_t01	17.1.1	hormone metabolism.abscisic acid.synthesis-degradation	ABA	0.487503611	50	60	54	66.5	71	69.5	72	75	82	110.5	58	63	81.5	81.5	79.5	90	107.5	144	-0.214124805	-0.070389328	-0.593840652	-0.293445719	-0.163135836	-0.372912024	-0.578267848	-0.941106311
GRMZM2G061078	grmzm2g061078_t01	17.1.1	hormone metabolism.abscisic acid.synthesis-degradation	ABA	0.728174013	318	330	291.5	272.5	252	257	218.5	249	325	318.5	376.5	340	303	319.5	253	316.5	306	348.5	-0.243623099	-0.043068722	-0.05582191	-0.229559701	-0.005713651	-0.30043714	-0.485898373	-0.485012914
GRMZM2G446858	grmzm2g446858_t01	17.1.1	hormone metabolism.abscisic acid.synthesis-degradation	ABA	0.099751764	6	19	104	148	5	10.5	7	4	0	120	38	22.5	35.5	30.5	8.5	144	10	5.5	-2.662965013	-0.243925583	1.550692599	2.278716028	-0.765534746	-3.777607579	-0.514573173	-0.459431619
GRMZM2G027241	grmzm2g027241_t01	17.1.1	hormone metabolism.abscisic acid.synthesis-degradation	ABA	0.159442887	270	275.5	229.5	250.5	339	428.5	355.5	381	499.5	380	243.5	216	239	308	310.5	373.5	367	423	0.149037635	0.351021006	-0.058516465	-0.298119747	0.126692005	0.198186961	-0.045930503	-0.150866666
GRMZM2G019799	grmzm2g019799_t01	17.1.1	hormone metabolism.abscisic acid.synthesis-degradation	ABA	0.872305341	189	135.5	133	131.5	121.5	118	114.5	157	195.5	124.5	226	151.5	138.5	177	126	125.5	120.5	132.5	-0.257936538	-0.161024942	-0.058459731	-0.428686561	-0.05246742	-0.088900505	-0.073685548	0.244772199
