Sample	Condition	Day	Rep
DS3.3	Drought	3	1
DS3.4	Drought	3	2
DS4.1	Drought	4	1
DS4.4	Drought	4	2
DS5.2	Drought	5	1
DS5.3	Drought	5	2
DS6.1	Drought	6	1
DS6.2	Drought	6	2
DS7.2	Drought	7	1
DS7.3	Drought	7	2
DS8.2	Drought	8	1
DS8.4	Drought	8	2
DS9.1	Drought	9	1
DS9.3	Drought	9	2
DS10.1	Drought	10	1
DS10.4	Drought	10	2
WW3.3	Normal	3	1
WW3.5	Normal	3	2
WW4.3	Normal	4	1
WW4.4	Normal	4	2
WW5.1	Normal	5	1
WW5.3	Normal	5	2
WW6.1	Normal	6	1
WW6.2	Normal	6	2
WW7.2	Normal	7	1
WW7.5	Normal	7	2
WW8.1	Normal	8	1
WW8.3	Normal	8	2
WW9.2	Normal	9	1
WW9.3	Normal	9	2
WW10.2	Normal	10	1
WW10.3	Normal	10	2
