GeneID	Chromosome	Chromosome start	Type of variation	cor
GRMZM2G137648	chr1	372020	UpCNV	
GRMZM2G703460	chr1	727337	Both	0.833967974
GRMZM2G703462	chr1	1739146	DownCNV/PAV	0.599333095
GRMZM2G458423	chr1	2146377	DownCNV/PAV	0.929130632
GRMZM2G042552	chr1	2769464	DownCNV/PAV	0.908708795
GRMZM2G436286	chr1	2899570	DownCNV/PAV	0.650684464
GRMZM2G137329	chr1	2973061	DownCNV/PAV	0.838259735
GRMZM2G144101	chr1	3172275	DownCNV/PAV	0.906594651
GRMZM2G703469	chr1	3521371	DownCNV/PAV	0.85679749
GRMZM2G044388	chr1	3603976	DownCNV/PAV	0.931529784
GRMZM2G029824	chr1	3681271	DownCNV/PAV	0.880612629
GRMZM2G159431	chr1	4982635	DownCNV/PAV	0.870387051
GRMZM2G461777	chr1	4989761	DownCNV/PAV	
GRMZM2G465680	chr1	5221380	DownCNV/PAV	
GRMZM2G119736	chr1	5298784	DownCNV/PAV	0.916987811
GRMZM2G119471	chr1	5321016	DownCNV/PAV	0.869465701
GRMZM2G176548	chr1	5414023	DownCNV/PAV	0.796760916
GRMZM2G448701	chr1	6135409	DownCNV/PAV	0.757891874
GRMZM2G007263	chr1	6383886	DownCNV/PAV	
GRMZM2G137380	chr1	6536379	DownCNV/PAV	0.655359629
GRMZM2G092923	chr1	6799772	DownCNV/PAV	0.911428279
GRMZM2G409997	chr1	7063652	DownCNV/PAV	0.812048444
GRMZM2G110616	chr1	7535964	DownCNV/PAV	0.885225785
GRMZM2G056377	chr1	8056304	UpCNV	0.537203775
GRMZM2G474973	chr1	8168070	DownCNV/PAV	0.471483495
GRMZM2G176131	chr1	8184324	DownCNV/PAV	0.578905009
GRMZM2G068336	chr1	8399355	UpCNV	0.574385178
AC194863.3_FG006	chr1	8515111	DownCNV/PAV	0.495956665
GRMZM2G066805	chr1	8850701	DownCNV/PAV	0.291716207
AC190799.2_FG010	chr1	9038864	DownCNV/PAV	0.699093964
GRMZM2G343767	chr1	9173624	DownCNV/PAV	0.66084769
GRMZM2G407869	chr1	9422449	DownCNV/PAV	0.787365541
GRMZM2G113239	chr1	9545646	DownCNV/PAV	
AC186233.3_FG007	chr1	10166301	DownCNV/PAV	0.598789824
GRMZM2G092483	chr1	10793021	DownCNV/PAV	0.795262423
GRMZM2G413315	chr1	11087251	DownCNV/PAV	0.819060696
GRMZM2G413290	chr1	11102046	DownCNV/PAV	0.712685944
GRMZM2G703493	chr1	11548539	DownCNV/PAV	
GRMZM2G453148	chr1	12295382	DownCNV/PAV	0.798440185
GRMZM2G154087	chr1	12394014	DownCNV/PAV	0.931850681
GRMZM2G703497	chr1	12413996	Both	
GRMZM2G703500	chr1	13265501	DownCNV/PAV	
AC187207.3_FG006	chr1	13306697	UpCNV	
GRMZM2G103292	chr1	13374441	DownCNV/PAV	
GRMZM2G327695	chr1	13850237	Both	
GRMZM2G333777	chr1	15135030	Both	
GRMZM2G333798	chr1	15157745	DownCNV/PAV	0.797579686
GRMZM2G378130	chr1	15562414	DownCNV/PAV	0.483212648
GRMZM2G445630	chr1	16746106	DownCNV/PAV	0.840206995
GRMZM2G445588	chr1	16776658	DownCNV/PAV	0.453171949
GRMZM2G457118	chr1	17584958	DownCNV/PAV	
GRMZM2G410623	chr1	17606994	DownCNV/PAV	0.931965247
GRMZM2G109586	chr1	17638781	DownCNV/PAV	0.723956826
GRMZM2G410700	chr1	17651739	DownCNV/PAV	0.808728361
GRMZM2G410704	chr1	17656780	DownCNV/PAV	0.744498953
GRMZM2G411079	chr1	21059227	UpCNV	0.574978426
AC200038.4_FG011	chr1	21592536	DownCNV/PAV	0.773804698
GRMZM2G461907	chr1	21625184	DownCNV/PAV	0.681786283
GRMZM2G411216	chr1	21889858	DownCNV/PAV	0.621773674
GRMZM2G107395	chr1	22310898	DownCNV/PAV	0.641448945
GRMZM2G471253	chr1	23673890	DownCNV/PAV	0.518701761
GRMZM2G163557	chr1	23927071	UpCNV	
GRMZM2G071374	chr1	24872673	DownCNV/PAV	0.663480512
GRMZM2G071292	chr1	24892921	DownCNV/PAV	0.754165566
GRMZM2G071217	chr1	24896346	DownCNV/PAV	
GRMZM2G160224	chr1	25701755	DownCNV/PAV	0.545004056
GRMZM2G103059	chr1	25890821	DownCNV/PAV	0.84347326
GRMZM2G173067	chr1	26449350	DownCNV/PAV	0.935544093
GRMZM2G703531	chr1	28550709	DownCNV/PAV	
GRMZM2G118529	chr1	28639249	DownCNV/PAV	
GRMZM2G480698	chr1	29142085	DownCNV/PAV	0.449103979
GRMZM2G344996	chr1	30341922	DownCNV/PAV	
GRMZM2G043470	chr1	30347361	DownCNV/PAV	0.927620781
GRMZM2G152390	chr1	32046661	DownCNV/PAV	
GRMZM2G077942	chr1	32940170	DownCNV/PAV	0.921355662
GRMZM2G346861	chr1	33287052	DownCNV/PAV	0.867494059
GRMZM2G703543	chr1	34174982	Both	0.570533141
AC205100.3_FG001	chr1	35193103	DownCNV/PAV	0.549616151
GRMZM2G050825	chr1	35701999	DownCNV/PAV	0.90720949
GRMZM2G341309	chr1	35813407	DownCNV/PAV	0.842334308
AC177941.3_FG006	chr1	35890881	DownCNV/PAV	0.600888706
GRMZM2G352678	chr1	36462241	DownCNV/PAV	0.887476933
GRMZM2G014323	chr1	37730022	UpCNV	0.528980385
GRMZM2G012566	chr1	38606244	DownCNV/PAV	0.896501599
AC208204.3_FG006	chr1	38695340	DownCNV/PAV	0.760941731
GRMZM2G703559	chr1	39824320	DownCNV/PAV	0.707286736
GRMZM2G026959	chr1	39893599	DownCNV/PAV	0.865401425
GRMZM2G408887	chr1	39940281	DownCNV/PAV	0.786419301
GRMZM2G305526	chr1	39995951	DownCNV/PAV	0.909537807
GRMZM2G087459	chr1	40585468	DownCNV/PAV	0.918427823
GRMZM2G043976	chr1	41568946	DownCNV/PAV	0.582087162
GRMZM2G703561	chr1	42913329	DownCNV/PAV	0.748816539
GRMZM2G136268	chr1	43111852	DownCNV/PAV	0.928960661
